Title,Nazwa,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
"Zwiększenie odporności na sytuacje kryzysowe oraz dywersyfikacja przedsiębiorstwa Finezja Tomasz Kosiński zlokalizowanego w Lesznie woj. wielkopolskie, w regionie 5 (obejmującym województwa dolnośląskie, lubuskie i wielkopolskie) poprzez wprowadzenie nowych usług: organizacji imprez okolicznościowych i eventów w terenie, bezpośrednio u klientów oraz cateringu biznesowego oraz dzięki zakupom nowych innowacyjnych środków trwałych w zakresie sprzętu gastronomicznego.",FINEZJA TOMASZ KOSIŃSKI ,WIELKOPOLSKIE,Leszno,Strzelecka,11,64-100,141458.83
"Dywersyfikacja, wdrożenie nowych usług i zwiększenie odporności na kryzys w obiekcie Zbójnicka Chata w województwie dolnośląskim.",Zbójnicka Chata Renata Witkowska ,DOLNOŚLĄSKIE,Duszniki-Zdrój,Zieleniec,113,57-340,273673.5
"Inwestycja polegająca na uruchomieniu dodatkowej usługi, w postaci sauny oraz wypożyczania rowerów w obiekcie noclegowym Królikówka, prowadzona na terenie regionu piątego, obejmującego województwa wielkopolskie, lubuskie, dolnośląskie",Florida Andrzej Drygiel ,DOLNOŚLĄSKIE,Szczecin,Włodzimierza Ostoi-Zagórskiego,60A,71-810,125846.33
"Unowocześnienie i dywersyfikacja bazy usługowej Hotelu Madelaine przez wdrożenie samoobsługowego domku modułowego ze strefą wellness i spa, promującego zieloną transformację i transformację cyfrową w branży HoReCa, Lwówek Śląski, Dolny Śląsk.",FIRMA HANDLOWO - USŁUGOWA BRONICKA MAGDALENA ,DOLNOŚLĄSKIE,Lwówek Śląski,Henryka Brodatego,2,59-600,412753.46
Zwiększenia odporności na sytuacje kryzysowe przedsiębiorstwa ELTUS Sp. z o.o. działającego na obszarze województwa dolnośląskiego poprzez unowocześnienie bazy usługowej oraz podniesienie wiedzy i kompetencji pracowników przedsiębiorstwa.,Eltus sp. z o.o.,DOLNOŚLĄSKIE,Niemcza,Strzelińska,8,58-230,479507.22
"Inwestycja polegająca na wprowadzeniu nowej usługi organizacji i zarządzania wydarzeniami typu targi, konferencje, eventy, wystawy realizowana na terenie regionu nr 5 w województwie dolnośląskim.",Grzegorz Świrsz WIR-S ,DOLNOŚLĄSKIE,Czernica,Kolejowa,2A,55-003,540000.0
"Dywersyfikacja działalności E-XON s.c. wprowadzenie do oferty mobilnego studia i uodpornienie na przyszłe kryzysy poprzez rozszerzenie oferty o usługi typu : streamingu, organizacji konferencji online, koncertów , pokazów mody itp.","E-XON S.C. SYLWIA KOTOWICZ, PIOTR IZDEBSKI",WIELKOPOLSKIE,Poznań,Romana Maya,1,61-371,510457.76
"Rozszerzenie i dywersyfikacja działalności biura podróży Kiribati Club poprzez wprowadzenie usługi wynajmu rowerów elektrycznych i kajaków, oraz organizacji wycieczek po Polsce, zlokalizowanego w Regionie 5 w województwie wielkopolskim",KIRIBATI CLUB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,WIELKOPOLSKIE,Poznań,Grochowska,59,60-339,508969.7
Zwiększenie potencjału Hotelu Barczyzna w ramach wsparcia HoReCa dla MŚP z regionu wielkopolskiego.,HB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,WIELKOPOLSKIE,Barczyzna,,12,62-330,539811.9
"Konferencje w Karkonoszach - Dywersyfikacja działalności Wanderlust Anna Bejm w kierunku organizacji targów, wystaw, kongresów i eventów w Regionie 5 (woj. dolnośląskim)",Wanderlust Anna Bejm ,DOLNOŚLĄSKIE,Jelenia Góra,,13,58-560,181294.0
"Rozwój i dywersyfikacja działalności firmy Gastronomia, Handel, Usługi Małgorzata HODOWANA w województwie dolnośląskim (Region 5).","Gastronomia, Handel, Usługi Małgorzata HODOWANA ",DOLNOŚLĄSKIE,Siekierczyn,,275,59-818,448184.59
Rozwój i dywersyfikacja oferty RAAD na Uroczysku Paweł Iwanicki w województwie śląskim w ramach zwiększania konkurencyjności gospodarki i wspierania mikroprzedsiębiorstw (Region 5- dolnośląskie),RAAD na Uroczysku Paweł Iwanicki ,DOLNOŚLĄSKIE,Szklarska Poręba,Hugona Kołłątaja,3a,58-580,404218.26
Wzmocnienie odporności firmy SAGE Ewa Szumlewicz na nieprzewidywalne zagrożenia zewnętrzne poprzez dywersyfikację oferty produktowej i podniesienie kwalifikacji kadry pracowniczej - Region 5,SAGE Ewa Szumlewicz ,LUBUSKIE,Łagów,Adama Mickiewicza,21,66-220,451286.64
"Rozszerzam działalność o ofertę wynajem i dzierżawę sprzętu rekreacyjnego i sportowego PKD 77.21.Z . region 5, (województwo wielkopolskie ). Planujemy zakup 4 nowoczesnych żaglówek . Zakup paneli fotowoltaicznych będzie dostarczać bez emisyjnej energii oraz zakup urządzenia zapewniającego mobilny internet zwiększy komfort , ponadto zakup pętli indukcyjnej dla niepełnosprawnych . Nasza firma bierze udział w specjalistycznych szkoleniach i doradztwie , wspierając rozwój turystyki w regionie.","TYLIŃSKA MAŁGORZATA FIRMA ""OLIMP"" ",WIELKOPOLSKIE,Leszno,Węgierska,2,64-100,535727.2
Wzmocnienie konkurencyjności oraz odporności na sytuacje kryzysowe przedsiębiorstwa Usługi Turystyczne Gryglówka Wanda Grygiel poprzez dywersyfikację działalności i wprowadzenie nowych usług w Dusznikach-Zdroju w województwie dolnośląskim,Usługi Turystyczne Gryglówka Wanda Grygiel,DOLNOŚLĄSKIE,Duszniki-Zdrój,Zieleniec,67,57-340,130913.94
"Rozwój i dywersyfikacja firmy POL-SERVICE EXPO Zbigniew Nobik poprzez realizację przedsięwzięcia na terenie regionu obejmującego województwo wielkopolskie, lubuskie i dolnośląskie",ZBIGNIEW NOBIK POL-SERVICE EXPO,WIELKOPOLSKIE,Poznań,Książęca,1,61-361,521891.81
"Uruchomienie nowych usług wraz z unowocześnieniem bazy usługowej przez firmę ADAM PISKOZUB P.P.H.U. ""DAPI"", jako szansa na zdobycie nowych źródeł przychodów (Region 5 - dolnośląskie)","ADAM PISKOZUB P.P.H.U. ""DAPI""",DOLNOŚLĄSKIE,Wrocław,rynek Rynek,36/37,50-102,218837.29
"Adaptacja terenów zielonych dla potrzeb restauracji przy hotelu ""Podjadek"" w województwie wielkopolskim dla wprowadzenia usługi ""Przyjęcia w Harmonii z Naturą"".",Daria Duda - PODJADEK ,WIELKOPOLSKIE,Górzno,,20,63-450,472107.67
"Rozszerzenie i zwiększenie odporności działalności restauracji Zbyszko w regionie 5 – województwa dolnośląskie, lubuskie, wielkopolskie",RESTAURACJA ZBYSZKO TADEUSZ KOSTYRA ,LUBUSKIE,Bogdaniec,Mickiewicza,25,66-450,423259.71
"Dywersyfikacja działalności i wzrost odporności na kryzysy firmy Marcin Sokalski ""Szuwarek"" działającej w woj. lubuskim w Regionie 5.","Marcin Sokalski ""SZUWAREK"" ",LUBUSKIE,Gubin,Kołłątaja,22,66-620,508615.97
Rozszerzenie oferty gastronomicznej w firmie Azymut- region dolnośląski,"Biuro Turystyki Niekonwencjonalnej ""AZYMUT"" Marta Adamiak",DOLNOŚLĄSKIE,Złoty Stok,Złota,9,57-250,375257.9
Dywersyfikacja prowadzonej działalności o salon odchudzający w województwie Dolnośląskim,MOBILE FOOTBALL MAREK SIATRAK ,DOLNOŚLĄSKIE,Staniszów,Słoneczna,13,58-500,295322.2
Rozszerzenie działalności o usługę zapewnienia miejsc krótkotrwałego zakwaterowania w przyczepie kempingowej oraz wypożyczanie rowerów elektrycznych na terenie województwa dolnośląskiego - region 5.,Anna Zimna Biuro Podróży Traveleiro,DOLNOŚLĄSKIE,Wrocław,Eugeniusza Horbaczewskiego,4-6,54-130,217921.5
"Dywersyfikacja działalności firmy ""Akademia Rozwoju Sportowego"" Michał Stasiaczek poprzez rozpoczęcie usług treningowych dla profesjonalistów z zakresu kolarstwa","""Akademia Rozwoju Sportowego"" Michał Stasiaczek ",DOLNOŚLĄSKIE,Wrocław,Dożynkowa,15,52-311,478612.01
Wzmocnienie konkurencyjności oraz odporności na sytuacje kryzysowe przedsiębiorstwa REKREATOR SPORT Marcin Leszczyński poprzez dywersyfikację działalności i wprowadzenie nowych usług w Stroniu Śląskim w województwie dolnośląskim,REKREATOR SPORT Marcin Leszczyński ,DOLNOŚLĄSKIE,Stronie Śląskie,,38B,57-550,513572.88
Rozwinięcie zakresu działalności firmy poprzez oferowanie usług związanych z organizacją posiłków dla grup zorganizowanych w województwie Wielkopolskim,"""TESS"" BISTRO Ewa Senska ",WIELKOPOLSKIE,Witkowo,Wschodnia,4,62-230,154627.64
Rozwój i dywersyfikacja oferty firmy PODANO CATERING MACIEJ MILEWICZ w województwie dolnośląskim w ramach zwiększania konkurencyjności gospodarki i wspierania przedsiębiorstw (Region 5),Podano Catering Maciej Milewicz,DOLNOŚLĄSKIE,Wrocław,Kiełczowska,43,51-315,496578.75
Wzmocnienie odporności i konkurencyjności przedsiębiorstwa poprzez poszerzenie zakresu oferty oraz podniesienie jakości usług - województwo Wielkopolskie,RAJ Spółka Cywilna Michał Adamczak Adam Rejdukowski ,WIELKOPOLSKIE,Śrem,Tadeusza Kościuszki,9,63-100,473979.4
"Rozszerzenie działalności Solarium Miami oraz uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług - Region 5 obejmujący województwa dolnośląskie, lubuskie, wielkopolskie",ELŻBIETA WRZOS SOLARIUM MIAMI ,DOLNOŚLĄSKIE,Wrocław,Bolesławiecka,1,53-614,373959.07
"Rozszerzenie działalności firmy ATK Albin Kasperski oraz uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych produktów lodowych - Region 5 obejmujący województwa dolnośląskie, lubuskie, wielkopolskie",ALBIN KASPERSKI A.T.K,WIELKOPOLSKIE,Osieczna,Szkolna,3,64-113,302029.02
"Rozszerzenie i dywersyfikacji działalności przedsiębiorstwa Akademiacamp Sp. z o. o., poprzez rozpoczęcie świadczenia nowych usług, region woj. lubuskie",Akademiacamp Spółka z ograniczoną odpowiedzialnością ,LUBUSKIE,Sulechów,B. Prusa,31A,66-100,445801.93
Podniesienie konkurencyjności przedsiębiorstwa poprzez,"PRUS EKSPORT IMPORT ""JAGATOUR"" S.C. Grzegorz Prus, Agnieszka Świetlik-Prus",DOLNOŚLĄSKIE,Wrocław,Zenona Miriama Przesmyckiego,15,51-151,539881.44
"Rozszerzenie działalności MARCHEWKOWE POLE BG Sp. z o.o. poprzez wprowadzenie na terenie Wielkopolski 3 nowych usług: organizowania imprez okolicznościowych, cateringu dla wydarzeń o dużej skali, zarówno dla firm w parku biznesowym, jak i na zewnątrz oraz usługi oferowania dań GRAB&GO, co pozwoli na rozszerzenie profilu dotychczasowej działalności prowadzonej w sektorze gastronomia (HoReCa).",MARCHEWKOWE POLE BG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,WIELKOPOLSKIE,Poznań,,6,60-198,295367.61
Kino Września - inwestycje w MŚP na terenie regionu nr 5,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""TRÓJKA"" S.C. CZERNIEJEWSKA-WASZAK-WESOŁOWSKI",WIELKOPOLSKIE,Września,Koszarowa,14-16,62-300,475583.14
"Dywersyfikacja działalności poprzez wprowadzenie nowej oferty usługowej, zwiększającej konkurencyjność i odporność firmy USŁUGI GASTRONOMICZNE KUCHMA Maciej Kopczyk w województwie lubuskim (Region 5)",MACIEJ KOPCZYK USŁUGI GASTRONOMICZNE KUCHMA ,LUBUSKIE,Kościan,Księdza Józefa Surzyńskiego,39,64-000,190566.09
"Rozszerzenie działalności spółki Villa Cotonina o usługi dla Gościa wyznaczającego trendy w nowoczesnym świecie, realizującego ideę biznes i wypoczynek w Świeradowie-Zdroju w województwie Dolnośląskim.",VILLA COTONINA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,DOLNOŚLĄSKIE,Świeradów-Zdrój,Sanatoryjna,7,59-850,366138.98
Dywersyfikacja działalności poprzez wprowadzenie nowej oferty żywieniowej wraz z dowozem oraz usług cateringowych w barze Czuła Jest Noc we Wrocławiu,"BMB spółka cywilna Beata Bernecka-Ślimak, Barbara Krawiec, Martyna Kozak",DOLNOŚLĄSKIE,Wrocław,Kolejowa,8,53-308,147801.6
Nowe usługi w zakresie organizacji i obsługi technicznej targów i konferencji drogą do wzmocnienia odporności na kryzys wielkopolskiej firmy ŁUKASZ GIERLIK ŁUKASZ GIERLIK LIMITED EDITION (Region 5),ŁUKASZ GIERLIK ŁUKASZ GIERLIK LIMITED EDITION ,WIELKOPOLSKIE,Rawicz,Jana III Sobieskiego,1b,63-900,350789.07
Dywersyfikacja działalności PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE SZPEK GRZEGORZ SZPEK i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług- REGION 5,PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE SZPEK GRZEGORZ SZPEK ,WIELKOPOLSKIE,Pleszew,Przemysława II,10,63-300,491330.16
"Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa poprzez stworzenie nowego punktu gastronomicznego - kanapkarnia i burgerownia przy ul. Wełniany Rynek 3 w Gorzowie Wlkp., w województwie lubuskim.","""PASJA"" SPÓŁKA CYWILNA PIOTR WILGUCKI, SŁAWOMIR ZAŁUSKI ",LUBUSKIE,Gorzów Wielkopolski,Mostowa,4,66-400,397048.97
Dywersyfikacja działalności WROREST S.C. (Region 5 - dolnośląskie),WROREST S.C. ADAM PISKOZUB MONIKA PISKOZUB-OLEWIŃSKA,DOLNOŚLĄSKIE,Wrocław,rynek Rynek,35,50-102,180364.9
"Wzrost odporności na kryzys wielkopolskiej firmy ""Izabell"" Izabela Witman (Region 5) poprzez rozbudowę bazy usługowej i rozszerzenie działalności o nową usługę skierowaną dla osób o szczególnych potrzebach dietetycznych",""" IZABELL"" IZABELA WITMAN ",WIELKOPOLSKIE,Opalenica,Henryka Sienkiewicza,27,64-330,319801.8
"Rozszerzenie portfela oferowanych usług o specjalistyczne żywienie osób starszych i osób z niepełnosprawnościami, z uwzględnieniem indywidualnych ograniczeń zdrowotnych",Rettman spółka z ograniczoną odpowiedzialnością spółka komandytowa,DOLNOŚLĄSKIE,Wrocław,Różana,5,53-226,334131.35
"Dywersyfikacja działalności firmy Bożena Markowska P.P.H.U. ""MARKUS"" (Region 5 - dolnośląskie)","Bożena Markowska P.P.H.U. ""MARKUS"" ",Dolnośląskie,Garno,Kasztanowa,87,26-625,471392.84
Zwiększenie odporności przedsiębiorstwa K2 HOTEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 5: województwo dolnośląskie).,K2 HOTEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,DOLNOŚLĄSKIE,Wrocław,,10,50-071,488799.88
Dywersyfikacja działalności firmy Zubki Sp. z o.o. poprzez inwestycję w uruchomienie wypożyczalni rowerów elektrycznych w Szklarskiej Porębie - region 5-dolnośląskie,ZUBKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ,DOLNOŚLĄSKIE,Oleśnica,Lwowska,31,56-400,525870.0
Inwestycje rozszerzające i dywersyfikujące ofertę Gościńca nad Bukówką w regionie 5 na terenie województwa dolnośląskiego.,"GOŚCINIEC NAD BUKÓWKĄ SPÓŁKA JAWNA DUŹNIAK TOMASZ, ŁACIOK MIROSŁAW",DOLNOŚLĄSKIE,Miszkowice,Widokowa,10,58-420,509300.47
WZMOCNIENIE POZYCJI KONKURENCYJNEJ PRZEDSIĘBIORSTWA FTU AGATA SZUŁCZYŃSKA POPRZEZ DYWERSYFIKACJĘ PROFILU DZIAŁALNOŚCI,FTU AGATA SZUŁCZYŃSKA,WIELKOPOLSKIE,Konin,Fryderyka Chopina,18,62-510,539955.23
"Inwestycje dla ""OŁAWIAN HOTEL"" TERESA I PIOTR MARAJ SPÓŁKA JAWNA w produkty, usługi i kompetencje pracowników oraz kadry związane z dywersyfikacją działalności","""OŁAWIAN HOTEL"" TERESA I PIOTR MARAJ SPÓŁKA JAWNA ",DOLNOŚLĄSKIE,Oława,gen. Władysława Sikorskiego,6,55-200,540000.0
Rozszerzenie oraz dywersyfikacja działalności Uphotel Sp. z o.o. w celu zwiększenia odporności przedsiębiorstwa na sytuacje kryzysowe w Rejonie 5 (województwo lubuskie),UPHOTEL SP. Z O.O. ,LUBUSKIE,Jelenia Góra,Solna,4,58-500,538200.0
"Przygotowanie działalności gospodarczej Wnioskodawcy prowadzonej w branży HoReCa do wprowadzenia nowej usługi cateringowej polegającej na przygotowywaniu, pakowaniu w próżniowe opakowania z wydłużonym terminem spożycia oraz regularnym dostarczaniu gotowej żywności do odbiorców zewnętrznych, głównie do pracowników, współpracowników, członków itp. tych firm, biur, urzędów, instytucji, organizacji itp., które wyrażą zgodę na sprzedaż żywności na terenie ich obiektu, zlokalizowanych w Wielkopolsce.",LANFAM - INVEST Piotr Langosz ,WIELKOPOLSKIE,Chyby,Różana,44,62-081,540000.0
"Rozszerzenie profilu dotychczasowej działalności Firmy „TRAPER” Leszek Dubik poprzez inwestycje mające na celu wdrożenie nowych usług, świadczonych w województwie Lubuskim","Firma ""TRAPER"" Leszek Dubik ",LUBUSKIE,Słońsk,Plac Wolności,7,66-436,410110.59
"Wprowadzenie nowych usług - noclegowych oraz rozszerzenie usług gastronomicznych, wdrożenie rozwiązań cyfrowych i proekologicznych jako sposób na podniesienie konkurencyjności Baru Uniwersalnego Ewelina w Nowej Rudzie (woj. dolnośląskie - Region 5) oraz zwiększenie odporności firmy na wypadek kolejnych kryzysów w branży Horeca","VIOLETTA RAMUT BAR UNIWERSALNY ""EWELINA"" ",DOLNOŚLĄSKIE,Nowa Ruda,Radkowska,19,57-402,536881.49
"Dywersyfikacja działalności Bar DeTRoit Barbara Mroczkowska poprzez uruchomienie nowej usługi cateringu eventowego w Trzebnicy, woj. dolnośląskie.",BAR DeTRoit BARBARA MROCZKOWSKA,DOLNOŚLĄSKIE,Trzebnica,Leśna,5,55-100,216735.64
"Dywersyfikacja działalności firmy MACIEJ KĘDZIERSKI ""ATOMIC SPORT"" i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty usług turystycznych krótkotrwałego zakwaterowania w woj. wielkopolskim - Region 5","MACIEJ KĘDZIERSKI ""ATOMIC SPORT"" ",WIELKOPOLSKIE,Ostrów Wielkopolski,Profesora Kaliny,83,63-400,474000.0
"Dywersyfikacja usług VIP Catering poprzez modernizację infrastruktury, środków trwałych, cyfryzację oraz doradztwo i szkolenia w województwie wielkopolskim.","VIP CATERING URSZULA KACZMAREK, JANUSZ KACZMAREK S.C ",WIELKOPOLSKIE,Poznań,os. Czecha,59,61-288,539175.52
"Dywersyfikacja działalności RESTAURACJI ""POD LWAMI"" i uodpornienie na przyszłe kryzysy poprzez rozszerzenie oferty restauracji o produkcję lodów i wyrobów cukierniczych - Region 5","GASTRO SC TOMASZ HUSZCZO, JADWIGA KROPIEWNICKA ",DOLNOŚLĄSKIE,Szczawno-Zdrój,Tadeusza Kościuszki,15,58-310,197955.42
"Zwiększenie odporności przedsiębiorstwa na kryzysy poprzez rozszerzenie i dywersyfikację działalności gastronomiczno-noclegowej wraz z wprowadzeniem nowych produktów do oferty gastronomicznej oraz wprowadzenie do oferty nowej usługi sauny, a także inwestycje związane z zieloną oraz cyfrową transformacją - realizowane w woj. wielkopolskim, tj. na terenie Regionu 5, obejmującego województwa: dolnośląskie, lubuskie i wielkopolskie.","""JARMI""- SPÓŁKA CYWILNA JAROSŁAW KACPRZAK, JAN LIZIK, KRYSTYNA ŁUGOWSKA",WIELKOPOLSKIE,Licheń Stary,Wesoła,8,62-563,411755.45
Dywersyfikacja usług poprzez uruchomienie nowego lokalu oraz usługi cateringowej Pizza Si Anna Augustowska - region woj. dolnośląskie.,PIZZA SI ANNA AUGUSTOWSKA ,DOLNOŚLĄSKIE,Wrocław,Wojciecha Bogusławskiego,89,50-023,410619.83
Wdrożenie nowoczesnych rozwiązań w zajęciach z zakresu edukacji sportowej i rekreacji z monitorowaniem tętna (Region 5 - dolnośląskie),F&S COMPLEX SPÓŁKA CYWILNA ALICJA I ARKADIUSZ SANOJCA ,DOLNOŚLĄSKIE,Głogów,Rzemieślnicza,12,67-200,302073.45
Wsparcie infrastruktury turystycznej na Dolnym Śląsku poprzez dofinansowanie restauracji Zdrojowa,"RESTAURACJA KAWIARNIA ""ZDROJOWA"" HALINA BAZAN ",DOLNOŚLĄSKIE,Polanica-Zdrój,Parkowa,2,57-320,181097.56
Rozwój działalności w sektorze HoReCa i turystyce poprzez zakup mobilnej jurty oraz infrastruktury w regionie dolnośląskim,MAX COMFORT Sp. z o.o.,Dolnośląskie,Jelenia Góra,Bartosza Głowackiego,1,58-500,479140.1
Rozszerzenie i modernizacja menu firmy MBDJ Spółka z o.o. - Region 5,MBDJ Spółka z o.o.,WIELKOPOLSKIE,Poznań,Zakręt,20,60-351,304510.72
"Przedsięwzięcie uruchomienia Pensjonatu, realizowane w celu rozszerzenia i dywersyfikacji dotychczasowej działalności prowadzonej przez Restaurację Cliff w sektorze HoReCa oraz w celu zwiększenia odporności jej działalności; obejmujące swoim zakresem zakup materiałów i robót budowlanych, doradztwa, usług szkoleniowych oraz inwestycji w odnawialne źródła energii i automatyzację procesów, w Regionie 5 - woj. lubuskim",Restauracja Cliff Mateusz Cieśliński ,LUBUSKIE,Żary,Wrocławska,15,68-200,415834.84
Rozwój i podnoszenie poziomu usług przez Food & Friends Wrocław Sp. z o.o. poprzez rozszerzenie oferty o live cooking i catering okolicznościowy,Food & Friends Wrocław Sp. z o.o.,Dolnośląskie,Katowice,Tadeusza Kościuszki,227,40-950,245993.82
"Zakup wyposażenia, przebudowa i rozój ""Gościńca pod Dębem"" w województwie lubuskim",AGENCJA PROMOCJI I ROZWOJU GRZEGORZ FAJKIS ,LUBUSKIE,Jasieniec,,50,66-320,520274.3
"Dywersyfikacja firmy Krystyna Dragan Restauracja ""Retro"" poprzez uruchomienie nowej usługi cateringu eventowego z opcją gotowania na żywo w Obornikach Śląskich, woj. dolnośląskie.","KRYSTYNA DRAGAN RESTAURACJA ""RETRO"" ",DOLNOŚLĄSKIE,Oborniki Śląskie,marsz. Józefa Piłsudskiego,8,55-120,533923.7
"Wprowadzenie dywersyfikacji we firmie ZAJAZD ""U DUDZIARZA"" WYTWÓRNIA LODÓW""WM"" SP.C.L.MARCINKOWSKI,P.WYTYK w województwie Wielkopolskim","ZAJAZD ""U DUDZIARZA"" WYTWÓRNIA LODÓW""WM"" SP.C.L.MARCINKOWSKI,P.WYTYK",WIELKOPOLSKIE,Kościan,skwer Skwer Krimpen,1,64-000,537455.7
"Rozszerzenie i dywersyfikacja działalności firmy PIOTR ZIEMKIEWICZ poprzez realizację przedsięwzięcia inwestycyjnego na terenie regionu obejmującego województwo wielkopolskie, lubuskie i dolnośląskie",PIOTR ZIEMKIEWICZ ,WIELKOPOLSKIE,Pleszew,Sportowa,4,63-300,216325.11
Dywersyfikacja przedsiębiorstwa Hotele Szablewski Spółka z o.o w województwie wielkopolskim poprzez dodanie do oferty nowych usług.,HOTELE SZABLEWSKI SP. Z O.O.,WIELKOPOLSKIE,Września,Ignacego Paderewskiego,41,62-300,521558.1
